output_1,output_2,output_3
1.0,1.0,0.04188323343328193
1.0,3.0,439.493049382369
1.0,6.0,93.24881390508908
1.0,3.0,16.61462947180243
1.0,5.0,43.19290586666261
0.0,5.0,1353.357371639402
1.0,10.0,175.3988404229729
1.0,9.0,313.8651024570221
1.0,3.0,27.84844852731838
1.0,2.0,129.3123589375637
1.0,2.0,-0.001897844416134831
1.0,1.0,94.65266379560913
0.0,4.0,1256.452771668781
1.0,6.0,0.7459200214243821
1.0,1.0,138.862218342856
1.0,2.0,13.65570093748122
1.0,4.0,-0.02320255443680708
1.0,1.0,65.28603795092882
1.0,6.0,443.6690624726437
1.0,5.0,817.3155847652879
0.0,0.0,1134.074422462539
1.0,7.0,102.0687871262888
1.0,3.0,87.04947265668567
1.0,1.0,2.419831816375204
1.0,1.0,39.91474872623857
1.0,3.0,-0.03733018664956944
0.0,1.0,1138.136644362105
1.0,7.0,-0.002132579228600662
1.0,7.0,559.0068782679984
